# tool	class	check	fallback	docs
git	must	cmd:git	-	-
gh	must	cmd:gh	-	-
superpowers	must	plugin:claude:superpowers	-	/obra/superpowers
context-mode	must	plugin:claude:context-mode || mcp:claude:context-mode	-	/mksglu/context-mode
serena	recommended	cmd:serena	rg/grep によるテキスト検索	/oraios/serena
context7	recommended	mcp:claude:context7	WebSearch/WebFetch で公式ドキュメントを直接取得	/upstash/context7
specify	recommended	cmd:specify	plan mode ＋ docs/planning/requirements/ に要件を残す	/github/spec-kit
crit	recommended	cmd:crit	PR のインラインコメント	-
skills	recommended	plugin:claude:skills	complete-task.sh ＋ real-use gate で検証	-
crabbox	recommended	exec:scripts/cbx.sh	ローカル worktree で並列	-
linear	recommended	mcp:claude:linear	GitHub Issues のみで運用	-
